from_stop_id,to_stop_id,transfer_type,min_transfer_time
IDFM:463079,IDFM:21966,2,12
IDFM:16909,IDFM:21291,2,60
IDFM:19193,IDFM:40103,2,315
IDFM:463046,IDFM:484709,2,424
IDFM:30527,IDFM:462910,2,133
IDFM:38431,IDFM:38762,2,186
IDFM:40722,IDFM:19080,2,153
IDFM:29147,IDFM:29148,2,74
IDFM:14562,IDFM:14556,2,331
IDFM:11045,IDFM:13011,2,156
IDFM:411684,IDFM:34721,2,60
IDFM:26373,IDFM:21943,2,171
IDFM:485332,IDFM:486155,2,269
IDFM:23955,IDFM:474274,2,173
IDFM:4941,IDFM:4942,2,60
IDFM:488271,IDFM:27250,2,218
IDFM:39325,IDFM:21906,2,339
IDFM:4171,IDFM:34367,2,96
IDFM:37794,IDFM:427575,2,358
IDFM:30805,IDFM:31007,2,314
IDFM:30628,IDFM:30909,2,220
IDFM:22021,IDFM:471934,2,290
IDFM:490577,IDFM:38124,2,251
IDFM:28076,IDFM:27618,2,293
IDFM:15682,IDFM:15751,2,345
IDFM:30223,IDFM:23258,2,272
IDFM:34585,IDFM:32318,2,82
IDFM:monomodalStopPlace:43105,IDFM:5248,2,325
IDFM:22143,IDFM:22639,2,81
IDFM:26674,IDFM:39545,2,84
IDFM:20606,IDFM:4271,2,277
IDFM:462945,IDFM:28259,2,330
IDFM:14026,IDFM:481823,2,223
IDFM:32732,IDFM:490721,2,315
IDFM:8992,IDFM:9062,2,307
IDFM:16316,IDFM:426282,2,187
IDFM:37359,IDFM:462996,2,416
IDFM:462963,IDFM:28400,2,234
IDFM:23034,IDFM:3734,2,362
IDFM:34453,IDFM:34452,2,128
IDFM:23084,IDFM:23079,2,381
IDFM:474368,IDFM:10205,2,267
IDFM:3159,IDFM:21812,2,342
IDFM:26761,IDFM:464009,2,83
IDFM:11312,IDFM:11370,2,302
IDFM:22156,IDFM:462955,2,11
IDFM:14977,IDFM:14978,2,60
IDFM:11074,IDFM:19848,2,333
IDFM:16478,IDFM:16479,2,60
IDFM:19061,IDFM:420272,2,60
IDFM:13071,IDFM:monomodalStopPlace:462398,2,246
IDFM:35854,IDFM:26799,2,112
IDFM:26271,IDFM:22118,2,290
IDFM:30909,IDFM:30628,2,220
IDFM:427588,IDFM:477232,2,313
IDFM:26264,IDFM:24684,2,291
IDFM:415651,IDFM:37951,2,60
IDFM:18761,IDFM:18773,2,303
IDFM:417072,IDFM:462466,2,103
IDFM:35852,IDFM:29455,2,231
IDFM:monomodalStopPlace:43104,IDFM:9321,2,232
IDFM:32170,IDFM:monomodalStopPlace:47790,2,210
IDFM:478750,IDFM:427124,2,269
IDFM:422956,IDFM:8679,2,60
IDFM:2482,IDFM:10186,2,324
IDFM:29202,IDFM:29200,2,368
IDFM:21344,IDFM:21345,2,60
IDFM:13560,IDFM:34597,2,180
IDFM:23654,IDFM:463059,2,335
IDFM:37385,IDFM:28243,2,235
IDFM:416862,IDFM:416865,2,241
IDFM:20153,IDFM:23970,2,256
IDFM:13900,IDFM:13901,2,226
IDFM:8975,IDFM:8718,2,378
IDFM:30941,IDFM:31123,2,235
IDFM:17233,IDFM:23916,2,60
IDFM:415116,IDFM:12285,2,60
IDFM:15726,IDFM:15727,2,60
IDFM:40152,IDFM:480408,2,248
IDFM:30059,IDFM:monomodalStopPlace:43220,2,318
IDFM:6966,IDFM:420832,2,293
IDFM:419609,IDFM:419599,2,331
IDFM:477843,IDFM:487002,2,350
IDFM:5888,IDFM:5887,2,60
IDFM:18936,IDFM:490657,2,117
IDFM:13656,IDFM:417746,2,164
IDFM:420967,IDFM:12539,2,381
IDFM:20327,IDFM:monomodalStopPlace:43215,2,341
IDFM:23066,IDFM:419205,2,181
IDFM:423327,IDFM:484097,2,118
IDFM:488072,IDFM:11801,2,122
IDFM:15226,IDFM:15714,2,290
IDFM:26314,IDFM:22765,2,362
IDFM:monomodalStopPlace:47879,IDFM:8647,2,256
IDFM:420180,IDFM:483221,2,186
IDFM:17982,IDFM:17955,2,374
IDFM:21675,IDFM:477909,2,282
IDFM:426886,IDFM:8207,2,345
IDFM:monomodalStopPlace:47881,IDFM:13665,2,233
IDFM:485537,IDFM:38670,2,322
IDFM:5275,IDFM:10363,2,369
IDFM:8875,IDFM:8846,2,313
IDFM:474179,IDFM:427310,2,121
IDFM:25624,IDFM:30148,2,60
IDFM:422081,IDFM:422082,2,259
IDFM:463201,IDFM:24265,2,256
IDFM:479504,IDFM:463953,2,79
IDFM:423518,IDFM:38531,2,319
IDFM:472159,IDFM:39248,2,306
IDFM:416497,IDFM:416495,2,375
IDFM:34596,IDFM:34572,2,267
IDFM:419804,IDFM:13147,2,274
IDFM:35817,IDFM:22232,2,357
IDFM:483454,IDFM:39464,2,342
IDFM:20706,IDFM:20714,2,267
IDFM:36563,IDFM:7883,2,195
IDFM:425003,IDFM:40107,2,309
IDFM:12125,IDFM:12126,2,60
IDFM:478721,IDFM:16304,2,337
IDFM:26763,IDFM:463206,2,358
IDFM:monomodalStopPlace:44602,IDFM:470662,2,222
IDFM:463077,IDFM:28679,2,298
IDFM:427368,IDFM:486904,2,158
IDFM:490639,IDFM:38262,2,273
IDFM:35927,IDFM:488084,2,110
IDFM:38686,IDFM:38692,2,380
IDFM:19586,IDFM:486783,2,60
IDFM:17322,IDFM:17321,2,81
IDFM:23304,IDFM:23297,2,10
IDFM:30434,IDFM:30416,2,60
IDFM:31309,IDFM:31308,2,331
IDFM:14483,IDFM:5256,2,60
IDFM:8201,IDFM:8200,2,283
IDFM:8418,IDFM:22125,2,258
IDFM:15537,IDFM:15534,2,60
IDFM:422083,IDFM:38866,2,60
IDFM:6585,IDFM:6584,2,60
IDFM:42098,IDFM:24928,2,250
IDFM:monomodalStopPlace:58798,IDFM:463567,2,235
IDFM:34254,IDFM:34257,2,248
IDFM:8679,IDFM:8742,2,60
IDFM:36652,IDFM:30113,2,66
IDFM:20631,IDFM:472620,2,62
IDFM:16204,IDFM:36339,2,76
IDFM:monomodalStopPlace:470540,IDFM:39394,2,229
IDFM:22078,IDFM:461914,2,385
IDFM:6967,IDFM:19806,2,375
IDFM:15654,IDFM:15653,2,60
IDFM:480191,IDFM:426318,2,60
IDFM:34010,IDFM:16127,2,163
IDFM:482434,IDFM:monomodalStopPlace:43207,2,308
IDFM:463168,IDFM:25303,2,221
IDFM:8500,IDFM:3767,2,263
IDFM:25089,IDFM:25088,2,60
IDFM:13758,IDFM:14177,2,369
IDFM:6495,IDFM:6497,2,60
IDFM:13161,IDFM:491259,2,226
IDFM:13337,IDFM:13336,2,315
IDFM:7445,IDFM:7513,2,366
IDFM:422040,IDFM:21508,2,271
IDFM:39474,IDFM:25294,2,352
IDFM:420271,IDFM:21174,2,60
IDFM:424216,IDFM:31331,2,166
IDFM:27005,IDFM:427590,2,285
IDFM:8679,IDFM:32813,2,244
IDFM:20514,IDFM:20515,2,137
IDFM:427392,IDFM:19618,2,75
IDFM:7598,IDFM:21513,2,342
IDFM:463107,IDFM:36701,2,245
IDFM:39187,IDFM:490601,2,60
IDFM:21359,IDFM:21408,2,256
IDFM:36496,IDFM:28364,2,321
IDFM:30169,IDFM:463179,2,229
IDFM:21680,IDFM:24065,2,97
IDFM:26889,IDFM:463059,2,335
IDFM:39120,IDFM:39129,2,258
IDFM:39311,IDFM:38184,2,199
IDFM:426153,IDFM:462942,2,224
IDFM:425703,IDFM:4500,2,60
IDFM:35985,IDFM:485715,2,119
